Price,is_holiday,duration,days_until_flight,From_Алматы,From_Астана,From_Шымкент,To_Алматы,To_Астана,To_Атырау,To_Шымкент,avialine_Air Astana,avialine_FlyArystan,avialine_Qazaq Air,avialine_SCAT,part_of_day_вечер,part_of_day_день,part_of_day_ночь,part_of_day_утро
25113,False,4.19380024577226,-0.12254033363461336,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
23599,False,4.19380024577226,0.20348481147955533,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
23599,False,4.658654153047981,0.529509956593724,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
23599,False,4.42622719941012,0.9486851431690837,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
26779,False,4.891081106685841,1.0418351846302747,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False
24657,False,4.42622719941012,1.2747102882832524,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
21479,False,4.658654153047981,1.50758539193623,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
30234,True,0.2425420339286282,-1.7526660592054568,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
30234,True,0.010115080290767537,-1.7526660592054568,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
29429,False,0.010115080290767537,-1.7060910384748613,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
29429,False,0.010115080290767537,-1.7060910384748613,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
29429,False,0.010115080290767537,-1.6595160177442658,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
29429,False,0.2425420339286282,-1.6595160177442658,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
29429,False,0.010115080290767537,-1.61294099701367,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
24659,False,0.2425420339286282,-1.4266409140912881,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
24659,False,0.010115080290767537,-1.4266409140912881,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
24659,False,0.010115080290767537,-1.4266409140912881,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
29429,False,0.010115080290767537,-0.6814405824017596,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
29429,False,0.010115080290767537,-0.6348655616711641,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
29429,False,0.010115080290767537,-0.6348655616711641,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
29429,False,0.010115080290767537,-0.6348655616711641,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
22109,False,0.010115080290767537,-0.541715520209973,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
29429,False,0.2425420339286282,-0.541715520209973,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
30234,False,0.2425420339286282,-0.49514049947937755,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False
30234,False,0.2425420339286282,-0.49514049947937755,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
15107,False,0.010115080290767537,-0.44856547874878205,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
17324,False,0.010115080290767537,-0.44856547874878205,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
17324,False,0.2425420339286282,-0.44856547874878205,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
12999,False,0.2425420339286282,-0.4019904580181865,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
12999,False,0.010115080290767537,-0.4019904580181865,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
15119,False,0.010115080290767537,-0.4019904580181865,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
12999,False,0.010115080290767537,-0.355415437287591,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
12999,False,0.010115080290767537,-0.355415437287591,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
12999,False,0.2425420339286282,-0.355415437287591,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
13577,False,0.010115080290767537,-0.30884041655699546,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
15830,False,0.010115080290767537,-0.30884041655699546,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
15119,False,0.2425420339286282,-0.26226539582639996,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
18299,False,0.010115080290767537,-0.26226539582639996,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
18299,False,0.2425420339286282,-0.26226539582639996,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False
18299,False,0.010115080290767537,-0.2156903750958044,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
18299,False,0.2425420339286282,-0.2156903750958044,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
15830,False,0.2425420339286282,-0.1691153543652089,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
18299,False,0.2425420339286282,-0.1691153543652089,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
21479,False,0.010115080290767537,-0.1691153543652089,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
13577,False,0.010115080290767537,-0.12254033363461336,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
15830,False,0.2425420339286282,-0.12254033363461336,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
13577,False,0.010115080290767537,-0.07596531290401784,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
13577,False,0.2425420339286282,-0.07596531290401784,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
13577,False,0.010115080290767537,-0.07596531290401784,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
12999,False,0.010115080290767537,-0.02939029217342231,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
12999,False,0.2425420339286282,-0.02939029217342231,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
12999,False,0.010115080290767537,-0.02939029217342231,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
12999,False,0.010115080290767537,0.017184728557173217,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
15119,False,0.010115080290767537,0.017184728557173217,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
18299,False,0.010115080290767537,0.017184728557173217,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
15119,False,0.2425420339286282,0.06375974928776874,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
18299,False,0.010115080290767537,0.06375974928776874,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
15119,False,0.010115080290767537,0.11033477001836427,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
15119,False,0.2425420339286282,0.11033477001836427,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
18299,False,0.010115080290767537,0.11033477001836427,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
18299,False,0.2425420339286282,0.11033477001836427,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
15830,False,0.2425420339286282,0.1569097907489598,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
15830,False,0.2425420339286282,0.1569097907489598,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
19290,False,0.010115080290767537,0.1569097907489598,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
12999,False,0.010115080290767537,0.20348481147955533,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
15119,False,0.2425420339286282,0.20348481147955533,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
10879,False,0.2425420339286282,0.2500598322101508,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
10879,False,0.010115080290767537,0.2500598322101508,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
12999,False,0.010115080290767537,0.2500598322101508,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
10879,False,0.010115080290767537,0.2966348529407464,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
10879,False,0.2425420339286282,0.2966348529407464,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
13577,False,0.010115080290767537,0.34320987367134187,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
13577,False,0.010115080290767537,0.34320987367134187,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
19290,False,0.010115080290767537,0.34320987367134187,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
15119,False,0.2425420339286282,0.3897848944019374,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
15119,False,0.2425420339286282,0.3897848944019374,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False
15119,False,0.010115080290767537,0.3897848944019374,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
15119,False,0.010115080290767537,0.43635991513253297,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
15119,False,0.2425420339286282,0.43635991513253297,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
15119,False,0.2425420339286282,0.43635991513253297,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
13577,False,0.010115080290767537,0.529509956593724,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
13577,False,0.010115080290767537,0.529509956593724,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
13577,False,0.2425420339286282,0.529509956593724,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
9819,False,0.2425420339286282,0.5760849773243195,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
9819,False,0.010115080290767537,0.5760849773243195,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
10879,False,0.010115080290767537,0.5760849773243195,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
9819,False,0.2425420339286282,0.622659998054915,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
10879,False,0.010115080290767537,0.622659998054915,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
11885,False,0.010115080290767537,0.6692350187855106,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
12999,False,0.2425420339286282,0.7158100395161061,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False
15119,False,0.010115080290767537,0.7158100395161061,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
15119,False,0.2425420339286282,0.7158100395161061,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
12999,False,0.2425420339286282,0.7623850602467016,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
12999,False,0.2425420339286282,0.7623850602467016,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
15119,False,0.010115080290767537,0.7623850602467016,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
15830,False,0.2425420339286282,0.8089600809772971,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
15830,False,0.2425420339286282,0.8089600809772971,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
12999,False,0.010115080290767537,0.8555351017078927,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
12999,False,0.2425420339286282,0.8555351017078927,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
9819,False,0.2425420339286282,0.9021101224384882,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
9819,False,0.010115080290767537,0.9021101224384882,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
9819,False,0.010115080290767537,0.9021101224384882,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
9819,False,0.2425420339286282,0.9486851431690837,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
9819,False,0.010115080290767537,0.9486851431690837,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
10879,False,0.010115080290767537,0.9486851431690837,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
9819,False,0.010115080290767537,0.9952601638996793,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
10879,False,0.010115080290767537,0.9952601638996793,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
12999,False,0.2425420339286282,1.0418351846302747,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
15119,False,0.010115080290767537,1.0418351846302747,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
