Price,From,To,is_holiday,avialine,duration,days_until_flight,part_of_day
25113,0,2,False,1,200,36,1
23599,0,2,False,1,200,43,1
23599,0,2,False,1,210,50,2
23599,0,2,False,1,205,59,1
26779,0,2,False,1,215,61,0
24657,0,2,False,1,205,66,1
21479,0,2,False,1,210,71,2
30234,0,1,True,1,115,1,3
30234,0,1,True,1,110,1,1
29429,0,1,False,1,110,2,0
29429,0,1,False,1,110,2,1
29429,0,1,False,1,110,3,0
29429,0,1,False,1,115,3,3
29429,0,1,False,1,110,4,0
24659,0,1,False,1,115,8,3
24659,0,1,False,1,110,8,0
24659,0,1,False,1,110,8,1
29429,0,1,False,1,110,24,1
29429,0,1,False,1,110,25,3
29429,0,1,False,1,110,25,0
29429,0,1,False,1,110,25,1
22109,0,1,False,1,110,27,0
29429,0,1,False,1,115,27,0
30234,0,1,False,1,115,28,2
30234,0,1,False,1,115,28,3
15107,0,1,False,1,110,29,0
17324,0,1,False,1,110,29,1
17324,0,1,False,1,115,29,3
12999,0,1,False,1,115,30,3
12999,0,1,False,1,110,30,0
15119,0,1,False,1,110,30,1
12999,0,1,False,1,110,31,0
12999,0,1,False,1,110,31,1
12999,0,1,False,1,115,31,3
13577,0,1,False,1,110,32,3
15830,0,1,False,1,110,32,1
15119,0,1,False,1,115,33,3
18299,0,1,False,1,110,33,1
18299,0,1,False,1,115,33,2
18299,0,1,False,1,110,34,0
18299,0,1,False,1,115,34,3
15830,0,1,False,1,115,35,3
18299,0,1,False,1,115,35,3
21479,0,1,False,1,110,35,1
13577,0,1,False,1,110,36,0
15830,0,1,False,1,115,36,3
13577,0,1,False,1,110,37,1
13577,0,1,False,1,115,37,3
13577,0,1,False,1,110,37,0
12999,0,1,False,1,110,38,0
12999,0,1,False,1,115,38,3
12999,0,1,False,1,110,38,1
12999,0,1,False,1,110,39,3
15119,0,1,False,1,110,39,1
18299,0,1,False,1,110,39,0
15119,0,1,False,1,115,40,3
18299,0,1,False,1,110,40,1
15119,0,1,False,1,110,41,1
15119,0,1,False,1,115,41,3
18299,0,1,False,1,110,41,0
18299,0,1,False,1,115,41,0
15830,0,1,False,1,115,42,3
15830,0,1,False,1,115,42,3
